target_chembl,uniprot,gene_symbol,pref_name,protein_class,n_mols,metal_enzyme_risk
CHEMBL2736,Q14833,GRM4,Metabotropic glutamate receptor 4,Metabotropic glutamate receptor,1466,0
CHEMBL3884,P31639,SLC5A2,Sodium/glucose cotransporter 2,SLC05 family of sodium-dependent glucose transporters,1465,0
CHEMBL1980,Q14524,SCN5A,Sodium channel protein type 5 subunit alpha,Voltage-gated sodium channel,1449,0
CHEMBL2010631,P25106,ACKR3,Atypical chemokine receptor 3,CXC chemokine receptor,1433,0
CHEMBL2959,Q08881,ITK,Tyrosine-protein kinase ITK/TSK,Tyrosine protein kinase Tec family,1431,0
CHEMBL331,P11802,CDK4,Cyclin-dependent kinase 4,CMGC protein kinase group,1427,0
CHEMBL2146302,O94925,GLS,"Glutaminase kidney isoform, mitochondrial",Hydrolase,1425,0
CHEMBL5027,P39748,FEN1,Flap endonuclease 1,Hydrolase,1419,0
CHEMBL6111,Q9UM07,PADI4,Protein-arginine deiminase type-4,Enzyme,1408,0
CHEMBL209,P07477,PRSS1,Serine protease 1,Serine protease S1A subfamily,1405,0
CHEMBL1293292,P48048,KCNJ1,ATP-sensitive inward rectifier potassium channel 1,Inwardly rectifying potassium channel,1399,0
CHEMBL2061,P19793,RXRA,Retinoic acid receptor RXR-alpha,Nuclear hormone receptor subfamily 2 group B member 1,1390,0
CHEMBL3142,P78527,PRKDC,DNA-dependent protein kinase catalytic subunit,Atypical protein kinase PIKK family,1390,0
CHEMBL223,P25100,ADRA1D,Alpha-1D adrenergic receptor,Adrenergic receptor,1379,0
CHEMBL4072,P07858,CTSB,Cathepsin B,Cysteine protease C1A family,1369,0
CHEMBL3983,P33981,TTK,Dual specificity protein kinase TTK,Other protein kinase TTK family,1369,0
CHEMBL4718,Q9BUB5,MKNK1,MAP kinase-interacting serine/threonine-protein kinase 1,CAMK protein kinase MNK subfamily,1363,0
CHEMBL4093,P55055,NR1H2,Oxysterols receptor LXR-beta,Nuclear hormone receptor subfamily 1 group H member 3,1357,0
CHEMBL5888,Q99558,MAP3K14,Mitogen-activated protein kinase kinase kinase 14,STE protein kinase unique family,1345,0
CHEMBL6009,O75907,DGAT1,Diacylglycerol O-acyltransferase 1,Transferase,1344,0
CHEMBL5393,Q9UNQ0,ABCG2,Broad substrate specificity ATP-binding cassette transporter ABCG2,ABCG subfamily,1338,0
CHEMBL1795116,O14744,PRMT5,Protein arginine N-methyltransferase 5,Protein arginine methyltransferase,1325,0
CHEMBL2321643,Q9H7B4,SMYD3,Histone-lysine N-methyltransferase SMYD3,SET domain,1323,0
CHEMBL1983,P28221,HTR1D,5-hydroxytryptamine receptor 1D,Serotonin receptor,1318,0
CHEMBL4588,P22894,MMP8,Neutrophil collagenase,Metallo protease M10A subfamily,1314,0
CHEMBL3572,P11597,CETP,Cholesteryl ester transfer protein,Pore-forming toxins (proteins and peptides),1301,0
CHEMBL4979,P13866,SLC5A1,Sodium/glucose cotransporter 1,SLC05 family of sodium-dependent glucose transporters,1285,0
CHEMBL5285,Q99683,MAP3K5,Mitogen-activated protein kinase kinase kinase 5,STE protein kinase STE11 family,1284,0
CHEMBL6166,O95819,MAP4K4,Mitogen-activated protein kinase kinase kinase kinase 4,STE protein kinase MSN subfamily,1278,0
CHEMBL2321630,Q10469,MGAT2,"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",Transferase,1258,0
CHEMBL1985,P47871,GCGR,Glucagon receptor,Glucagon receptor,1253,0
CHEMBL2534,O15530,PDPK1,3-phosphoinositide-dependent protein kinase 1,AGC protein kinase PDK1 subfamily,1246,0
CHEMBL4026,P40763,STAT3,Signal transducer and activator of transcription 3,Transcription factor,1240,0
CHEMBL1841,P06241,FYN,Tyrosine-protein kinase Fyn,Tyrosine protein kinase Src family,1236,0
CHEMBL4662,P28074,PSMB5,Proteasome Macropain subunit MB1,Threonine protease T1A subfamily,1236,0
CHEMBL202,P00374,DHFR,Dihydrofolate reductase,Oxidoreductase,1235,0
CHEMBL4691,Q96RI0,F2RL3,Proteinase-activated receptor 4,Protease-activated receptor,1225,0
CHEMBL3524,P56524,HDAC4,Histone deacetylase 4,HDAC class IIa,1204,1
CHEMBL2808,Q13133,NR1H3,Oxysterols receptor LXR-alpha,Nuclear hormone receptor subfamily 1 group H member 3,1204,0
CHEMBL5080,Q9Y5X9,LIPG,Endothelial lipase,Hydrolase,1191,0
CHEMBL3568,P29475,NOS1,Nitric oxide synthase 1,Oxidoreductase,1188,0
CHEMBL2001,Q9H244,P2RY12,P2Y purinoceptor 12,Purine receptor,1180,0
CHEMBL4561,Q15761,NPY5R,Neuropeptide Y receptor type 5,Neuropeptide Y receptor,1180,0
CHEMBL2189110,Q15910,EZH2,Histone-lysine N-methyltransferase EZH2,Protein methyltransferase,1175,0
CHEMBL5409,Q8TDU6,GPBAR1,G-protein coupled bile acid receptor 1,Steroid-like ligand receptor,1173,0
CHEMBL227,P30556,AGTR1,Type-1 angiotensin II receptor,Angiotensin receptor,1168,0
CHEMBL4937,P49674,CSNK1E,Casein kinase I isoform epsilon,CK1 protein kinase CK1 family,1168,0
CHEMBL1853,P31391,SSTR4,Somatostatin receptor type 4,Somatostatin receptor,1167,0
CHEMBL4179,P45984,MAPK9,Mitogen-activated protein kinase 9,CMGC protein kinase JNK subfamily,1162,0
CHEMBL1898,P28222,HTR1B,5-hydroxytryptamine receptor 1B,Serotonin receptor,1158,0
CHEMBL299,P17252,PRKCA,Protein kinase C alpha type,AGC protein kinase PKC alpha subfamily,1148,0
CHEMBL4523377,Q86WV6,STING1,Stimulator of interferon genes protein,Unclassified protein,1147,0
CHEMBL1991,O14920,IKBKB,Inhibitor of nuclear factor kappa-B kinase subunit beta,Other protein kinase group,1146,0
CHEMBL2431,P31751,AKT2,RAC-beta serine/threonine-protein kinase,AGC protein kinase AKT family,1142,0
CHEMBL1836,P35408,PTGER4,Prostaglandin E2 receptor EP4 subtype,Prostanoid receptor,1140,0
CHEMBL3473,P51677,CCR3,C-C chemokine receptor type 3,CC chemokine receptor,1136,0
CHEMBL4657,Q6V1X1,DPP8,Dipeptidyl peptidase 8,Serine protease S9B subfamily,1135,0
CHEMBL2035,P08912,CHRM5,Muscarinic acetylcholine receptor M5,Acetylcholine receptor,1125,0
CHEMBL5491,P30291,WEE1,Wee1-like protein kinase,Other protein kinase WEE family,1123,0
CHEMBL4158,P49327,FASN,Fatty acid synthase,Transferase,1121,0
CHEMBL5903,Q04771,ACVR1,Activin receptor type-1,TKL protein kinase STKR1,1120,0
CHEMBL5339,Q5NUL3,FFAR4,Free fatty acid receptor 4,Free fatty acid receptor,1101,0
CHEMBL3587,Q02750,MAP2K1,Dual specificity mitogen-activated protein kinase kinase 1,STE protein kinase STE7 family,1100,0
CHEMBL5202,Q9UQD0,SCN8A,Sodium channel protein type 8 subunit alpha,Voltage-gated sodium channel,1097,0
CHEMBL3988583,P35270,SPR,Sepiapterin reductase,Oxidoreductase,1097,0
CHEMBL1785,P24530,EDNRB,Endothelin receptor type B,Endothelin receptor,1096,0
CHEMBL2434,P25025,CXCR2,C-X-C chemokine receptor type 2,CXC chemokine receptor,1092,0
CHEMBL3976,Q9UHL4,DPP7,Dipeptidyl peptidase 2,Serine protease S28 family,1092,0
CHEMBL3286,P00749,PLAU,Urokinase-type plasminogen activator,Serine protease S1A subfamily,1086,0
CHEMBL3632452,Q9UDY8,MALT1,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,Hydrolase,1086,0
CHEMBL2208,P49137,MAPKAPK2,MAP kinase-activated protein kinase 2,CAMK protein kinase MAPKAPK subfamily,1084,0
CHEMBL1945,P48039,MTNR1A,Melatonin receptor type 1A,Melatonin receptor,1083,0
CHEMBL1772932,O43683,BUB1,Mitotic checkpoint serine/threonine-protein kinase BUB1,Protein Kinase,1082,0
CHEMBL1867,P08913,ADRA2A,Alpha-2A adrenergic receptor,Adrenergic receptor,1078,0
CHEMBL4578,Q14680,MELK,Maternal embryonic leucine zipper kinase,CAMK protein kinase MELK subfamily,1075,0
CHEMBL6175,Q9H3R0,KDM4C,Lysine-specific demethylase 4C,Jumonji domain-containing,1067,0
CHEMBL3795,Q01726,MC1R,Melanocyte-stimulating hormone receptor,Melanocortin receptor,1065,0
CHEMBL6164,O95271,TNKS,Poly [ADP-ribose] polymerase tankyrase-1,Transferase,1063,0
CHEMBL3920,Q04759,PRKCQ,Protein kinase C theta type,AGC protein kinase PKC delta subfamily,1061,0
CHEMBL3820,P35557,GCK,Hexokinase-4,Enzyme,1056,0
CHEMBL4481,P35228,NOS2,"Nitric oxide synthase, inducible",Enzyme,1055,0
CHEMBL2337,P48067,SLC6A9,Sodium- and chloride-dependent glycine transporter 1,SLC06 neurotransmitter transporter family,1054,0
CHEMBL4618,P09960,LTA4H,Leukotriene A-4 hydrolase,Metallo protease M1 family,1052,0
CHEMBL3922,P50579,METAP2,Methionine aminopeptidase 2,Metallo protease M24A subfamily,1040,0
CHEMBL5853,Q96PD7,DGAT2,Diacylglycerol O-acyltransferase 2,Transferase,1040,0
CHEMBL4429,P29371,TACR3,Neuromedin-K receptor,Neurokinin receptor,1035,0
CHEMBL4644,P41968,MC3R,Melanocortin receptor 3,Melanocortin receptor,1033,0
CHEMBL2069,P21731,TBXA2R,Thromboxane A2 receptor,Prostanoid receptor,1032,0
CHEMBL2107,P61073,CXCR4,C-X-C chemokine receptor type 4,CXC chemokine receptor,1031,0
CHEMBL4523357,Q70CQ3,USP30,Ubiquitin carboxyl-terminal hydrolase 30,Hydrolase,1029,0
CHEMBL4508,Q16769,QPCT,Glutaminyl-peptide cyclotransferase,Aminoacyltransferase,1025,0
CHEMBL1899,P46098,HTR3A,5-hydroxytryptamine receptor 3A,5HT3 receptor,1023,0
CHEMBL3830,Q2M2I8,AAK1,AP2-associated protein kinase 1,Other protein kinase NAK family,1018,0
CHEMBL1908389,Q12852,MAP3K12,Mitogen-activated protein kinase kinase kinase 12,STE protein kinase group,1011,0
CHEMBL4681,P42330,AKR1C3,Aldo-keto reductase family 1 member C3,Oxidoreductase,1009,0
CHEMBL2079846,Q07889,SOS1,Son of sevenless homolog 1,Unclassified protein,1006,0
CHEMBL1795098,Q9GZU7,CTDSP1,Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1,Serine/threonine protein phosphatase,1002,0
CHEMBL5543,Q9Y463,DYRK1B,Dual specificity tyrosine-phosphorylation-regulated kinase 1B,CMGC protein kinase Dyrk1 subfamily,994,0
CHEMBL1801,P00747,PLG,Plasminogen,Serine protease S1A subfamily,991,0
CHEMBL2049,P30559,OXTR,Oxytocin receptor,Vasopressin and oxytocin receptor,990,0
CHEMBL2140,P48775,TDO2,"Tryptophan 2,3-dioxygenase",Oxidoreductase,987,0
CHEMBL1946,P49286,MTNR1B,Melatonin receptor type 1B,Melatonin receptor,985,0
CHEMBL4531,P17931,LGALS3,Galectin-3,Other cytosolic protein,985,0
CHEMBL3861,Q15119,PDK2,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial",Atypical protein kinase PDHK subfamily,978,0
CHEMBL2285,Q9UNA0,ADAMTS5,A disintegrin and metalloproteinase with thrombospondin motifs 5,Metallo protease M12B subfamily,978,0
CHEMBL1795186,Q15059,BRD3,Bromodomain-containing protein 3,Bromodomain,978,0
CHEMBL2996,Q05655,PRKCD,Protein kinase C delta type,AGC protein kinase PKC delta subfamily,976,0
CHEMBL4581,P52732,KIF11,Kinesin-like protein KIF11,Other cytosolic protein,971,0
CHEMBL4128,Q02763,TEK,Angiopoietin-1 receptor,Tyrosine protein kinase Tie family,966,0
CHEMBL4777,P25929,NPY1R,Neuropeptide Y receptor type 1,Neuropeptide Y receptor,965,0
CHEMBL1994,P08235,NR3C2,Mineralocorticoid receptor,Nuclear hormone receptor subfamily 3 group C member 2,962,0
CHEMBL4523419,Q92743,HTRA1,Serine protease HTRA1,Hydrolase,958,0
CHEMBL3629,P68400,CSNK2A1,Casein kinase II subunit alpha,Other protein kinase CK2 family,952,0
CHEMBL1981,P06213,INSR,Insulin receptor,Tyrosine protein kinase InsR family,948,0
CHEMBL2327,P21452,TACR2,Substance-K receptor,Neurokinin receptor,948,0
CHEMBL2252,P53634,CTSC,Dipeptidyl peptidase 1,Cysteine protease C1A family,947,0
CHEMBL4462,Q8IXJ6,SIRT2,NAD-dependent protein deacetylase sirtuin-2,HDAC class III,947,1
CHEMBL1804,P30874,SSTR2,Somatostatin receptor type 2,Somatostatin receptor,942,0
CHEMBL2016,P00740,F9,Coagulation factor IX,Serine protease S1A subfamily,938,0
CHEMBL2007,P16234,PDGFRA,Platelet-derived growth factor receptor alpha,Tyrosine protein kinase PDGFR family,938,0
CHEMBL2179,P04062,GBA1,Lysosomal acid glucosylceramidase,Enzyme,931,0
CHEMBL1741217,Q9HC16,APOBEC3G,DNA dC->dU-editing enzyme APOBEC-3G,Hydrolase,921,0
CHEMBL4226,P49761,CLK3,Dual specificity protein kinase CLK3,CMGC protein kinase CLK family,919,0
CHEMBL5147,P54760,EPHB4,Ephrin type-B receptor 4,Tyrosine protein kinase Eph family,918,0
CHEMBL1255129,P04628,WNT1,Proto-oncogene Wnt-1,Unclassified protein,916,0
CHEMBL4051,P13569,CFTR,Cystic fibrosis transmembrane conductance regulator,Cystic fibrosis transmembrane conductance regulator,915,0
CHEMBL1792,P35346,SSTR5,Somatostatin receptor type 5,Somatostatin receptor,911,0
CHEMBL3974,P25116,F2R,Proteinase-activated receptor 1,Protease-activated receptor,908,0
CHEMBL1293289,P25440,BRD2,Bromodomain-containing protein 2,Bromodomain,908,0
CHEMBL1790,P30518,AVPR2,Vasopressin V2 receptor,Vasopressin and oxytocin receptor,902,0
CHEMBL3807,P17706,PTPN2,Tyrosine-protein phosphatase non-receptor type 2,Tyrosine protein phosphatase,902,0
CHEMBL4437,O00459,PIK3R2,Phosphatidylinositol 3-kinase regulatory subunit beta,Enzyme,899,0
CHEMBL5979,P05186,ALPL,"Alkaline phosphatase, tissue-nonspecific isozyme",Phosphatase,899,0
CHEMBL6120,Q96S37,SLC22A12,Solute carrier family 22 member 12,SLC22 family of organic cation and anion transporters,897,0
CHEMBL1795143,Q86W56,PARG,Poly(ADP-ribose) glycohydrolase,Hydrolase,892,0
CHEMBL6154,Q9H2K2,TNKS2,Poly [ADP-ribose] polymerase tankyrase-2,Transferase,887,0
CHEMBL4425,Q01064,PDE1B,"Dual specificity calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1B",Phosphodiesterase 1B,876,0
CHEMBL4523403,Q8NI77,KIF18A,Kinesin-like protein KIF18A,Other cytosolic protein,876,0
CHEMBL254,P27815,PDE4A,"3',5'-cyclic-AMP phosphodiesterase 4A",Phosphodiesterase 4A,872,0
CHEMBL3798,Q16602,CALCRL,Calcitonin gene-related peptide type 1 receptor,Calcitonin gene-related peptide receptor,871,0
CHEMBL3714130,P46095,GPR6,G-protein coupled receptor 6,Family A G protein-coupled receptor,870,0
CHEMBL1900,P15121,AKR1B1,Aldo-keto reductase family 1 member B1,Oxidoreductase,869,0
CHEMBL2345,P51812,RPS6KA3,Ribosomal protein S6 kinase alpha-3,AGC protein kinase RSK subfamily,868,0
CHEMBL1835,P24557,TBXAS1,Thromboxane-A synthase,Cytochrome P450 5A1,865,0
CHEMBL5619,P27695,APEX1,DNA repair nuclease/redox regulator APEX1,Enzyme,864,0
CHEMBL3869,P50281,MMP14,Matrix metalloproteinase-14,Metallo protease M10A subfamily,858,1
CHEMBL4224,P49759,CLK1,Dual specificity protein kinase CLK1,CMGC protein kinase CLK family,857,0
CHEMBL4105907,Q5BJF2,TMEM97,Sigma intracellular receptor 2,Membrane receptor,846,0
CHEMBL3710,P43115,PTGER3,Prostaglandin E2 receptor EP3 subtype,Prostanoid receptor,840,0
CHEMBL2508,Q00534,CDK6,Cyclin-dependent kinase 6,CMGC protein kinase group,838,0
CHEMBL2321613,O14649,KCNK3,Potassium channel subfamily K member 3,Two-pore domain potassium channel,838,0
CHEMBL4315,P47900,P2RY1,P2Y purinoceptor 1,Purine receptor,835,0
CHEMBL1873,P00750,PLAT,Tissue-type plasminogen activator,Serine protease S1A subfamily,835,0
CHEMBL3714079,Q9NQS5,GPR84,G-protein coupled receptor 84,Family A G protein-coupled receptor,829,0
CHEMBL2028,P32745,SSTR3,Somatostatin receptor type 3,Somatostatin receptor,825,0
CHEMBL2373,P21730,C5AR1,C5a anaphylatoxin chemotactic receptor 1,Anaphylatoxin receptor,824,0
CHEMBL4766,Q15118,PDK1,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",Atypical protein kinase PDHK subfamily,821,0
CHEMBL4898,Q16620,NTRK2,BDNF/NT-3 growth factors receptor,Tyrosine protein kinase Trk family,821,0
CHEMBL5366,Q9UGN5,PARP2,Poly [ADP-ribose] polymerase 2,Transferase,818,0
CHEMBL1741213,Q9BQF6,SENP7,Sentrin-specific protease 7,Cysteine protease C48 family,814,0
CHEMBL1955,P35916,FLT4,Vascular endothelial growth factor receptor 3,Tyrosine protein kinase VEGFR family,813,0
CHEMBL3437,Q16853,AOC3,Amine oxidase [copper-containing] 3,Oxidoreductase,809,0
CHEMBL3772,Q13255,GRM1,Metabotropic glutamate receptor 1,Metabotropic glutamate receptor,807,0
CHEMBL4608,P33032,MC5R,Melanocortin receptor 5,Melanocortin receptor,806,0
CHEMBL2527,O96017,CHEK2,Serine/threonine-protein kinase Chk2,CAMK protein kinase RAD53 family,805,0
CHEMBL3535,O76083,PDE9A,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",Phosphodiesterase 9A,804,0
CHEMBL3580522,Q9NZQ7,CD274,Programmed cell death 1 ligand 1,Unclassified protein,804,0
CHEMBL2068,P29317,EPHA2,Ephrin type-A receptor 2,Tyrosine protein kinase Eph family,802,0
CHEMBL4599,Q07912,TNK2,Activated CDC42 kinase 1,Tyrosine protein kinase Ack family,799,0
CHEMBL2413,P32246,CCR1,C-C chemokine receptor type 1,CC chemokine receptor,798,0
CHEMBL4793,Q86TI2,DPP9,Dipeptidyl peptidase 9,Serine protease S9B subfamily,797,0
CHEMBL4803,P29474,NOS3,Nitric oxide synthase 3,Enzyme,788,0
CHEMBL5689,P17752,TPH1,Tryptophan 5-hydroxylase 1,Oxidoreductase,788,0
CHEMBL5957,P21589,NT5E,5'-nucleotidase,Phosphatase,788,0
CHEMBL4607,P50052,AGTR2,Type-2 angiotensin II receptor,Angiotensin receptor,787,0
CHEMBL4308,P46663,BDKRB1,B1 bradykinin receptor,Bradykinin receptor,787,0
CHEMBL6115,P10619,CTSA,Lysosomal protective protein,Serine protease S10 family,785,0
CHEMBL1845,P35498,SCN1A,Sodium channel protein type 1 subunit alpha,Voltage-gated sodium channel,784,0
CHEMBL4018,P49146,NPY2R,Neuropeptide Y receptor type 2,Neuropeptide Y receptor,783,0
CHEMBL1741208,Q96P20,NLRP3,"NACHT, LRR and PYD domains-containing protein 3",Unclassified protein,782,0
CHEMBL2535,P11166,SLC2A1,"Solute carrier family 2, facilitated glucose transporter member 1",SLC02 family of hexose and sugar alcohol transporters,781,0
CHEMBL1075319,Q7Z2W7,TRPM8,Transient receptor potential cation channel subfamily M member 8,Transient receptor potential channel,781,0
CHEMBL4306,P22460,KCNA5,Potassium voltage-gated channel subfamily A member 5,Voltage-gated potassium channel,776,0
CHEMBL1916,P18825,ADRA2C,Alpha-2C adrenergic receptor,Adrenergic receptor,773,0
CHEMBL3359,P21462,FPR1,fMet-Leu-Phe receptor,N-formyl methionyl peptide receptor,773,0
CHEMBL1811,P34995,PTGER1,Prostaglandin E2 receptor EP1 subtype,Prostanoid receptor,772,0
CHEMBL3788,O00444,PLK4,Serine/threonine-protein kinase PLK4,Other protein kinase PLK family,770,0
CHEMBL1859,O95180,CACNA1H,Voltage-dependent T-type calcium channel subunit alpha-1H,Voltage-gated calcium channel,767,0
CHEMBL4739695,Q86U44,METTL3,N6-adenosine-methyltransferase catalytic subunit,Transferase,766,0
CHEMBL5555,O00767,SCD,Stearoyl-CoA desaturase,Enzyme,765,0
CHEMBL3401,O75469,NR1I2,Nuclear receptor subfamily 1 group I member 2,Nuclear hormone receptor subfamily 1 group I member 2,764,0
CHEMBL5451,Q9Y5Y9,SCN10A,Sodium channel protein type 10 subunit alpha,Voltage-gated sodium channel,759,0
CHEMBL3784,Q09472,EP300,Histone acetyltransferase p300,p300/CBP family,754,0
CHEMBL1875,Q13639,HTR4,5-hydroxytryptamine receptor 4,Serotonin receptor,751,0
CHEMBL3510,Q9ULX7,CA14,Carbonic anhydrase 14,Lyase,748,1
CHEMBL4506,Q96EB6,SIRT1,NAD-dependent protein deacetylase sirtuin-1,HDAC class III,745,1
CHEMBL1944,P08473,MME,Neprilysin,Metallo protease M13 family,744,0
CHEMBL4879459,Q13191,CBLB,E3 ubiquitin-protein ligase CBL-B,Transferase,731,0
CHEMBL3045,P05771,PRKCB,Protein kinase C beta type,AGC protein kinase PKC alpha subfamily,730,0
CHEMBL3522,P05093,CYP17A1,"Steroid 17-alpha-hydroxylase/17,20 lyase",Cytochrome P450 17A1,729,0
CHEMBL1795177,Q9H5I1,SUV39H2,Histone-lysine N-methyltransferase SUV39H2,Chromodomain,729,0
CHEMBL241,Q14432,PDE3A,"cGMP-inhibited 3',5'-cyclic phosphodiesterase 3A",Phosphodiesterase 3A,726,0
CHEMBL1902,P62942,FKBP1A,Peptidyl-prolyl cis-trans isomerase FKBP1A,Isomerase,725,0
CHEMBL3836,P53667,LIMK1,LIM domain kinase 1,TKL protein kinase LIMK subfamily,723,0
CHEMBL4619,Q14123,PDE1C,"Dual specificity calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1C",Phosphodiesterase 1C,720,0
CHEMBL4036,Q00535,CDK5,Cyclin-dependent kinase 5,CMGC protein kinase CDK5 subfamily,720,0
CHEMBL5857,Q96RJ0,TAAR1,Trace amine-associated receptor 1,Trace amine receptor,720,0
CHEMBL4068,P23946,CMA1,Chymase,Serine protease S1A subfamily,713,0
CHEMBL4393,P39900,MMP12,Macrophage metalloelastase,Metallo protease M10A subfamily,713,0
CHEMBL2343,O00141,SGK1,Serine/threonine-protein kinase Sgk1,AGC protein kinase SGK family,712,0
CHEMBL5014,O43353,RIPK2,Receptor-interacting serine/threonine-protein kinase 2,TKL protein kinase RIPK family,712,0
CHEMBL5921,O60502,OGA,Protein O-GlcNAcase,Hydrolase,707,0
CHEMBL1921,P47901,AVPR1B,Vasopressin V1b receptor,Vasopressin and oxytocin receptor,698,0
CHEMBL3012,Q13946,PDE7A,"High affinity 3',5'-cyclic-AMP phosphodiesterase 7A",Phosphodiesterase 7A,697,0
CHEMBL1741215,Q9GZR1,SENP6,Sentrin-specific protease 6,Cysteine protease C48 family,697,0
CHEMBL1293298,Q01453,PMP22,Peripheral myelin protein 22,Unclassified protein,695,0
CHEMBL1075165,Q8NEB9,PIK3C3,Phosphatidylinositol 3-kinase catalytic subunit type 3,Transferase,688,0
CHEMBL3357,P51617,IRAK1,Interleukin-1 receptor-associated kinase 1,TKL protein kinase IRAK family,682,0
CHEMBL1808,P12821,ACE,Angiotensin-converting enzyme,Metallo protease M2 family,681,0
CHEMBL5971,Q99835,SMO,Protein smoothened,Smoothened receptor (frizzled family GPCR),681,0
CHEMBL6032,Q96KQ7,EHMT2,Histone-lysine N-methyltransferase EHMT2,Protein methyltransferase,681,0
CHEMBL2916,O14746,TERT,Telomerase reverse transcriptase,Transferase,680,0
CHEMBL2821,P00748,F12,Coagulation factor XII,Serine protease S1A subfamily,678,0
CHEMBL5719,P49336,CDK8,Cyclin-dependent kinase 8,CMGC protein kinase CDK8 subfamily,678,0
CHEMBL4303,P08238,HSP90AB1,Heat shock protein HSP 90-beta,Other cytosolic protein,676,0
CHEMBL2319,P06870,KLK1,Kallikrein-1,Serine protease S1A subfamily,673,0
CHEMBL2789,P37059,HSD17B2,17-beta-hydroxysteroid dehydrogenase type 2,Oxidoreductase,671,0
CHEMBL3905,P07948,LYN,Tyrosine-protein kinase Lyn,Tyrosine protein kinase Src family,670,0
CHEMBL5462,Q13490,BIRC2,Baculoviral IAP repeat-containing protein 2,Enzyme,665,0
CHEMBL1942,P18089,ADRA2B,Alpha-2B adrenergic receptor,Adrenergic receptor,662,0
