ligand,target,vina_mode,vina_score
PAB_032,PIK3CA,3,-7.707
PAB_032,PIK3CA,4,-7.387
PAB_032,PIK3CA,5,-7.323
PAB_032,PIK3CA,6,-6.972
PAB_032,PIK3CA,7,-6.937
PAB_032,PIK3CA,8,-6.891
PAB_032,PIK3CA,9,-6.877
PAB_032,PIK3CB,1,-8.613
PAB_032,PIK3CB,2,-8.347
PAB_032,PIK3CB,3,-8.177
PAB_032,PIK3CB,4,-8.104
PAB_032,PIK3CB,5,-8.055
PAB_032,PIK3CB,6,-7.969
PAB_032,PIK3CB,7,-7.947
PAB_032,PIK3CB,8,-7.933
PAB_032,PIK3CB,9,-7.691
PAB_033,PIK3CA,1,-7.467
PAB_033,PIK3CA,2,-7.0
PAB_033,PIK3CA,3,-6.989
PAB_033,PIK3CA,4,-6.779
PAB_033,PIK3CA,5,-6.651
PAB_033,PIK3CA,6,-6.485
PAB_033,PIK3CA,7,-6.311
PAB_033,PIK3CA,8,-6.069
PAB_033,PIK3CA,9,-6.045
PAB_033,PIK3CB,1,-7.826
PAB_033,PIK3CB,2,-7.622
PAB_033,PIK3CB,3,-7.376
PAB_033,PIK3CB,4,-7.035
PAB_033,PIK3CB,5,-6.848
PAB_033,PIK3CB,6,-6.709
PAB_033,PIK3CB,7,-6.463
PAB_033,PIK3CB,8,-6.314
PAB_033,PIK3CB,9,-6.285
PAB_034,PIK3CB,1,-8.164
PAB_034,PIK3CB,2,-7.968
PAB_034,PIK3CB,3,-7.834
PAB_034,PIK3CB,4,-7.668
PAB_034,PIK3CB,5,-7.511
PAB_034,PIK3CB,6,-7.32
PAB_034,PIK3CB,7,-7.319
PAB_034,PIK3CB,8,-7.227
PAB_034,PIK3CB,9,-7.212
PAB_035,PIK3CA,1,-8.439
PAB_035,PIK3CA,2,-8.031
PAB_035,PIK3CA,3,-8.016
PAB_035,PIK3CA,4,-7.843
PAB_035,PIK3CA,5,-7.758
PAB_035,PIK3CA,6,-7.53
PAB_035,PIK3CA,7,-7.394
PAB_035,PIK3CA,8,-7.35
PAB_035,PIK3CA,9,-7.318
PAB_035,PIK3CB,1,-8.371
PAB_035,PIK3CB,2,-8.307
PAB_035,PIK3CB,3,-8.191
PAB_035,PIK3CB,4,-8.138
PAB_035,PIK3CB,5,-7.982
PAB_035,PIK3CB,6,-7.858
PAB_035,PIK3CB,7,-7.61
PAB_035,PIK3CB,8,-7.507
PAB_035,PIK3CB,9,-7.402
PAB_036,PIK3CA,1,-7.978
PAB_036,PIK3CA,2,-7.921
PAB_036,PIK3CA,3,-7.761
PAB_036,PIK3CA,4,-7.676
PAB_036,PIK3CA,5,-7.532
PAB_036,PIK3CA,6,-7.515
PAB_036,PIK3CA,7,-7.442
PAB_036,PIK3CA,8,-7.34
PAB_036,PIK3CA,9,-7.078
PAB_036,PIK3CB,1,-7.539
PAB_036,PIK3CB,2,-7.018
PAB_036,PIK3CB,3,-6.998
PAB_036,PIK3CB,4,-6.719
PAB_036,PIK3CB,5,-6.527
PAB_036,PIK3CB,6,-6.502
PAB_036,PIK3CB,7,-6.45
PAB_036,PIK3CB,8,-6.402
PAB_036,PIK3CB,9,-6.334
PAB_037,PIK3CA,1,-6.991
PAB_037,PIK3CA,2,-6.709
PAB_037,PIK3CA,3,-6.465
PAB_037,PIK3CA,4,-6.392
PAB_037,PIK3CA,5,-6.302
PAB_037,PIK3CA,6,-6.268
PAB_037,PIK3CA,7,-6.241
PAB_037,PIK3CA,8,-6.107
PAB_037,PIK3CA,9,-5.874
PAB_037,PIK3CB,1,-6.491
PAB_037,PIK3CB,2,-6.451
PAB_037,PIK3CB,3,-6.418
PAB_037,PIK3CB,4,-6.387
PAB_037,PIK3CB,5,-6.359
PAB_037,PIK3CB,6,-6.223
PAB_037,PIK3CB,7,-6.183
PAB_037,PIK3CB,8,-5.977
PAB_037,PIK3CB,9,-5.963
PAB_038,PIK3CA,1,-9.223
PAB_038,PIK3CA,2,-8.812
PAB_038,PIK3CA,3,-8.402
PAB_038,PIK3CA,4,-8.262
PAB_038,PIK3CA,5,-7.965
PAB_038,PIK3CA,6,-7.953
PAB_038,PIK3CA,7,-7.899
PAB_038,PIK3CA,8,-7.806
PAB_038,PIK3CA,9,-7.616
PAB_038,PIK3CB,1,-11.313
PAB_038,PIK3CB,2,-10.14
PAB_038,PIK3CB,3,-9.225
PAB_038,PIK3CB,4,-8.794
PAB_038,PIK3CB,5,-8.678
PAB_038,PIK3CB,6,-8.677
PAB_038,PIK3CB,7,-8.662
PAB_038,PIK3CB,8,-8.396
PAB_039,PIK3CA,1,-9.002
PAB_039,PIK3CA,2,-8.536
PAB_039,PIK3CA,3,-8.443
PAB_039,PIK3CA,4,-8.23
PAB_039,PIK3CA,5,-8.214
PAB_039,PIK3CA,6,-8.079
PAB_039,PIK3CA,7,-7.948
PAB_039,PIK3CA,8,-7.931
PAB_039,PIK3CA,9,-7.926
PAB_039,PIK3CB,1,-9.405
PAB_039,PIK3CB,2,-9.281
PAB_039,PIK3CB,3,-9.257
PAB_039,PIK3CB,4,-9.171
PAB_039,PIK3CB,5,-8.842
PAB_039,PIK3CB,6,-8.815
PAB_039,PIK3CB,7,-8.573
PAB_039,PIK3CB,8,-8.499
PAB_039,PIK3CB,9,-8.474
PAB_040,PIK3CA,1,-7.019
PAB_040,PIK3CA,2,-6.751
PAB_040,PIK3CA,3,-6.519
